interval_begin;interval_end;interval_haltingDurationSum;interval_id;interval_intervalHaltingDurationSum;interval_jamLengthInMetersSum;interval_jamLengthInVehiclesSum;interval_maxHaltingDuration;interval_maxIntervalHaltingDuration;interval_maxJamLengthInMeters;interval_maxJamLengthInVehicles;interval_maxOccupancy;interval_maxVehicleNumber;interval_meanHaltingDuration;interval_meanIntervalHaltingDuration;interval_meanMaxJamLengthInMeters;interval_meanMaxJamLengthInVehicles;interval_meanOccupancy;interval_meanSpeed;interval_meanTimeLoss;interval_meanVehicleNumber;interval_nVehEntered;interval_nVehLeft;interval_nVehSeen;interval_sampledSeconds;interval_startedHalts
1040.00;1080.00;0.00;id_-E1_0;0.00;0.00;0;0.00;0.00;0.00;0;3.68;8;0.00;0.00;0.00;0.00;2.84;11.61;2.85;6.17;3;1;8;247.00;0.00
1040.00;1080.00;350.00;id_-E1_1;19.00;130.75;19;125.00;6.00;35.00;5;2.76;6;70.00;3.80;3.27;0.47;0.95;8.21;3.95;2.27;3;8;9;87.53;0.00
1040.00;1080.00;0.00;id_-E1_2;0.00;0.00;0;0.00;0.00;0.00;0;0.46;1;0.00;0.00;0.00;0.00;0.07;7.41;2.95;0.15;1;1;1;6.00;0.00
1040.00;1080.00;0.00;id_-E2_0;0.00;0.00;0;0.00;0.00;0.00;0;2.03;4;0.00;0.00;0.00;0.00;1.58;11.81;1.93;3.17;1;3;5;126.58;0.00
1040.00;1080.00;131.00;id_-E2_1;80.00;500.04;80;85.00;40.00;12.50;2;2.03;4;65.50;40.00;12.50;2.00;1.55;5.03;21.72;3.05;2;0;4;122.00;0.00
1040.00;1080.00;0.00;id_-E2_2;0.00;0.00;0;0.00;0.00;0.00;0;0.00;0;0.00;0.00;0.00;0.00;0.00;-1.00;-1.00;0.00;0;0;0;0.00;0.00
1040.00;1080.00;0.00;id_-E3_0;0.00;0.00;0;0.00;0.00;0.00;0;1.01;3;0.00;0.00;0.00;0.00;0.65;12.65;0.60;1.93;4;4;6;77.00;0.00
1040.00;1080.00;40.00;id_-E3_1;1.00;5.00;1;40.00;1.00;5.00;1;1.01;3;40.00;1.00;0.12;0.03;0.40;11.83;0.68;1.23;6;6;7;48.74;0.00
1040.00;1080.00;318.00;id_-E3_2;148.00;1002.61;147;113.00;40.00;27.50;4;1.68;5;79.50;37.00;25.07;3.67;1.44;1.36;25.58;4.28;2;1;6;171.00;1.00
1080.00;1120.00;0.00;id_E0_0;0.00;0.00;0;0.00;0.00;0.00;0;2.52;7;0.00;0.00;0.00;0.00;2.40;12.99;1.90;6.72;2;3;9;268.30;0.00
